payment_id,booking_id,payment_method,amount_paid,payment_date
PAY001,B001,Mobile Money,"107,730,000",1/15/2025
PAY002,B002,Mobile Money,"76,950,000",1/16/2025
PAY003,B003,Mobile Money,"101,840,000",1/21/2025
PAY004,B004,Cash,"148,200,000",1/26/2025
PAY005,B005,Mobile Money,"92,340,000",1/31/2025
PAY006,B006,Mobile Money,"101,840,000",2/5/2025
PAY007,B007,Mobile Money,"98,800,000",2/10/2025
PAY008,B008,Cash,"123,120,000",2/15/2025
PAY009,B009,Credit card,"49,400,000",2/20/2025
PAY010,B010,Mobile Money,"101,840,000",2/25/2025
PAY011,B011,Mobile Money,"138,510,000",3/2/2025
PAY012,B012,Mobile Money,"63,650,000",3/7/2025
PAY013,B013,Mobile Money,"61,560,000",3/12/2025
PAY014,B014,Mobile Money,"101,840,000",3/17/2025
PAY015,B015,Mobile Money,"92,340,000",3/22/2025
PAY016,B016,Mobile Money,"46,170,000",3/27/2025
PAY017,B017,Mobile Money,"107,730,000",4/1/2025
PAY018,B018,Cash,"76,380,000",4/6/2025
