booking_id,customer_id,package_id,booking_date,travel_date,number_of_people,booking_status
B001,C001,P001,1/10/2025,2/1/2025,7,Confirmed
B002,C002,P002,1/15/2025,3/1/2025,5,Pending
B003,C003,P003,4/16/2021,4/1/2025,8,Canceled
B004,C004,P004,1/10/2025,5/1/2025,6,Confirmed
B005,C005,P005,1/15/2025,6/1/2025,6,Confirmed
B006,C006,P006,4/16/2021,7/1/2025,8,Confirmed
B007,C007,P007,1/10/2025,8/1/2025,4,Canceled
B008,C008,P008,1/15/2025,9/1/2025,8,Confirmed
B009,C009,P009,4/16/2021,10/1/2025,2,Pending
B010,C010,P010,1/10/2025,11/1/2025,8,Canceled
B011,C011,P011,1/15/2025,12/1/2025,9,Confirmed
B012,C012,P012,4/16/2021,1/1/2026,5,Confirmed
B013,C013,P013,1/10/2025,2/1/2026,4,Confirmed
B014,C014,P014,1/15/2025,3/1/2026,8,Confirmed
B015,C015,P015,4/16/2021,4/1/2026,6,Confirmed
B016,C016,P016,1/10/2025,5/1/2026,3,Pending
B017,C017,P017,1/15/2025,6/1/2026,7,Confirmed
B018,C018,P018,4/16/2021,7/1/2026,6,Confirmed
B019,C019,P019,1/10/2025,8/1/2026,6,Confirmed
B020,C020,P020,1/15/2025,9/1/2026,6,Confirmed
B021,C021,P021,4/16/2021,10/1/2026,6,Canceled
B022,C022,P022,1/10/2025,11/1/2026,6,Confirmed
